Identifier,Deprecated,Value_SOH,Value_English,Value_Welsh,Value_Gaelic,Comments
LNGG_SRD,,Sardinian,Sardinian,,,ISO639-2
LNGG_SRN,,,Sranan Tongo,,,ISO639-2
LNGG_SRP,,Serbian,Serbian,,,ISO639-2
LNGG_SRR,,,Serer,,,ISO639-2
LNGG_SSA,,,Nilo-Saharan languages,,,ISO639-2
LNGG_SSW,,,Swati,,,ISO639-2
LNGG_SUK,,,Sukuma,,,ISO639-2
LNGG_SUN,,,Sundanese,,,ISO639-2
LNGG_SUS,,Susu,Susu,,,ISO639-2
LNGG_SUX,,,Sumerian,,,ISO639-2
LNGG_SWA,,Swahili,Swahili,,,ISO639-2
LNGG_SWE,,Swedish,Swedish,,,ISO639-2
LNGG_SYC,,,Classical Syriac,,,ISO639-2
LNGG_SYR,,,Syriac,,,ISO639-2
LNGG_TAH,,,Tahitian,,,ISO639-2
LNGG_TAI,,,Tai languages,,,ISO639-2
LNGG_TAM,,Tamil,Tamil,,,ISO639-2
LNGG_TAT,,,Tatar,,,ISO639-2
LNGG_TEL,,Telugu,Telugu,,,ISO639-2
LNGG_TEM,,,Timne,,,ISO639-2
LNGG_TER,,,Tereno,,,ISO639-2
LNGG_TET,,Tetum,Tetum,,,ISO639-2
LNGG_TGK,,Tajik,Tajik,,,ISO639-2
LNGG_TGL,,Tagalog,Tagalog,,,ISO639-2
LNGG_THA,,Thai,Thai,,,ISO639-2
LNGG_TIG,,Tigre,Tigre,,,ISO639-2
LNGG_TIR,,Tigrinyan,Tigrinya,,,ISO639-2
LNGG_TIV,,,Tiv,,,ISO639-2
LNGG_TKL,,Tokelauan,Tokelau,,,ISO639-2
LNGG_TLH,,,Klingon; tlhIngan-Hol,,,ISO639-2
LNGG_TLI,,,Tlingit,,,ISO639-2
LNGG_TMH,,,Tamashek,,,ISO639-2
LNGG_TOG,,,Tonga (Nyasa),,,ISO639-2
LNGG_TON,,Tongan,Tonga (Tonga Islands),,,ISO639-2
LNGG_TPI,,,Tok Pisin,,,ISO639-2
LNGG_TSI,,,Tsimshian,,,ISO639-2
LNGG_TSN,,Setswana,Tswana,,,ISO639-2
LNGG_TSO,,,Tsonga,,,ISO639-2
LNGG_TUK,,Turkmen,Turkmen,,,ISO639-2
LNGG_TUM,,,Tumbuka,,,ISO639-2
LNGG_TUP,,,Tupi languages,,,ISO639-2
LNGG_TUR,,Turkish,Turkish,,,ISO639-2
LNGG_TUT,,,Altaic languages,,,ISO639-2
LNGG_TVL,,Tuvaluan,Tuvalu,,,ISO639-2
LNGG_TWI,,,Twi,,,ISO639-2
LNGG_TYV,,,Tuvinian,,,ISO639-2
LNGG_UDM,,,Udmurt,,,ISO639-2
LNGG_UGA,,,Ugaritic,,,ISO639-2
LNGG_UIG,,Uyghur,Uighur; Uyghur,,,ISO639-2
LNGG_UKR,,Ukrainian,Ukrainian,,,ISO639-2
LNGG_UMB,,,Umbundu,,,ISO639-2
LNGG_URD,,Urdu,Urdu,,,ISO639-2
LNGG_UZB,,Uzbek,Uzbek,,,ISO639-2
LNGG_VAI,,,Vai,,,ISO639-2
LNGG_VEN,,,Venda,,,ISO639-2
LNGG_VIE,,Vietnamese,Vietnamese,,,ISO639-2
LNGG_VOL,,,Volapük,,,ISO639-2
LNGG_VOT,,,Votic,,,ISO639-2
LNGG_WAK,,,Wakashan languages,,,ISO639-2
LNGG_WAL,,,Wolaitta; Wolaytta,,,ISO639-2
LNGG_WAR,,,Waray,,,ISO639-2
LNGG_WAS,,,Washo,,,ISO639-2
LNGG_WEN,,,Sorbian languages,,,ISO639-2
LNGG_WLN,,,Walloon,,,ISO639-2
LNGG_WOL,,Wolof,Wolof,,,ISO639-2
LNGG_XAL,,,Kalmyk; Oirat,,,ISO639-2
LNGG_XHO,,Xhosa,Xhosa,,,ISO639-2
LNGG_YAO,,,Yao,,,ISO639-2
LNGG_YAP,,,Yapese,,,ISO639-2
LNGG_YID,,Yiddish,Yiddish,,,ISO639-2
LNGG_YOR,,Yoruba,Yoruba,,,ISO639-2
LNGG_YPK,,Yupik,Yupik languages,,,ISO639-2
LNGG_ZAP,,,Zapotec,,,ISO639-2
